Sr. No. (CCA),Sr. No. (instrument),Date,Year,Capital control action,Link to capital control instrument,Category,Asset Class,Ease/tightening,Remarks
139,104,27-04-2018,2018,"Limits specified for issuance of corporate bonds to FPIs- Aggregate- 50%, and individual 20%. Companies currently under the process of issuing to corporates exempted",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11266&Mode=0,Investment Condition,Debt,-1,
140,104,27-04-2018,2018,FPI specifically prohibited from investing in partly paid  debt  instruments,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11266&Mode=0,Investment Condition,Debt,-1,
141,105,01-05-2018,2018,Investment by FPIs in corporate bonds with residual maturity below one year should not exceed 20% of the total investment of that FPI in corporate bonds.,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11268&Mode=0,Investment Condition,Debt,-1,
142,105,01-05-2018,2018,Clarification to the 27 April Circular: FPIs allowed to invest in treasury bills issued by the Central Government,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11268&Mode=0,Investment Condition,Debt,1,
143,105,01-05-2018,2018,"Clarification to the 27 April Circular: ""related entities' to have the same meaning as defined under the Companies Act",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11268&Mode=0,Investment Condition,General,0,
144,106,15-06-2018,2018,"Minimum maturity restriction for G-secs and SDLs withdrawn
",https://www.sebi.gov.in/legal/circulars/jun-2018/review-of-investment-by-foreign-portfolio-investors-fpi-in-debt_39284.html,Investment Condition,Debt,1,
145,106,15-06-2018,2018,Monitoring of FPI investments in G-secs and SDLs moved from stock exchanges to CCI,https://www.sebi.gov.in/legal/circulars/jun-2018/review-of-investment-by-foreign-portfolio-investors-fpi-in-debt_39284.html,Procedure,Debt,0,
146,106,15-06-2018,2018,Guidelines relating to participation of Foreign Portfolio Investors (FPIs) in the Exchange Traded Currency Derivatives (ETCD) market,https://rbi.org.in/Scripts/NotificationUser.aspx?Id=11303&Mode=0,Investment Condition,Derivatives,1,
147,107,13-07-2018,2018,Direction to depositories and registrar and transfer agents to co-ordinate information to ensure compliance of FPI norms,https://www.sebi.gov.in/legal/circulars/jul-2018/investment-by-foreign-portfolio-investors-fpi-through-primary-market-issuances_39539.html,Procedure,General,0,
148,108,21-08-2018,2018,Additional time period granted for compliance with KYC requirements,https://www.sebi.gov.in/legal/circulars/aug-2018/amendment-to-sebi-circular-no-cir-imd-fpic-cir-p-2018-64-dated-april-10-2018-on-know-your-client-requirements-for-foreign-portfolio-investors-fpis-_40065.html,Procedure,General,1,
149,109,21-09-2018,2018,Eligibility conditions for Foreign Portfolio Investors (FPIs) revised to allow for NRIs and OCIs to be constiuents of FPIs,https://www.sebi.gov.in/legal/circulars/sep-2018/eligibility-conditions-for-foreign-portfolio-investors-fpis-_40409.html,Eligibility,General,1,
150,109,21-09-2018,2018,Know Your Client Requirements for Foreign Portfolio Investors (FPIs) revised,https://www.sebi.gov.in/legal/circulars/sep-2018/eligibility-conditions-for-foreign-portfolio-investors-fpis-_40409.html,Procedure,General,-1,
151,110,13-12-2018,2018,"Clarification on clubbing of investment limits of Foreign Portfolio Investors (""FPIs"")",https://www.sebi.gov.in/legal/circulars/dec-2018/clarification-on-clubbing-of-investment-limits-of-foreign-portfolio-investors-fpis-_41281.html,Investment Condition,General,-1,
