"Case.No.","Bench","Who.filed..Corporate.Debtor...Creditor","Type.of.Creditor...Financial.or.operational","Type.of.Operational.Creditor","Type.of.Financial.Creditor","Amount.of.Debt","Name.of.Corporate.Debtor","Due.Date.for.payment","Date.of.demand.notice","Date.of.receipt.service.of.Demand.Notice","Date.of.filing.in.NCLT","First.date.of.case.listing","Date.of.final.disposal","Admitted.Dismissed","Name.of.Insolvency.Professional","Category.for.reason.for.dismissal","BIFR...Y.N","Appeal...Y.N","Who.appealed.","Outcome.of.appeal"
"CP/610(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"3045815+Interest","Antony Projects India Pvt. Ltd.","12.04.2014","11.08.2017","Not Available","Not Available","Not Available","15.11.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"CP/597(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Employee",NA,"18775631","Aruna Hotels Ltd.","Not Available","29.06.2017","06.07.2017","Not Available","Not Available","17.11.2017","Admitted","Venkataramanarao Nagarajan",NA,"N","N",NA,NA
"CP/14(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Sree Shivamukumdhaa Mills Pvt Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","21.11.2017","Dismissed",NA,"Other","N","N",NA,NA
"TCP/233(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"NBFC","30392383","C.T. Ramanathan Infrastructure Pvt Ld","Not Available",NA,NA,"Not Available","Not Available","21.11.2017","Admitted","Dhiren Shantilal Shah",NA,"N","N",NA,NA
"CP/634/IB/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","159500000","Vangal Amman Health Services Ltd.","Not Available",NA,NA,"Not Available","Not Available","22.11.2017","Admitted","Venkatraman Ravikumar",NA,"N","N",NA,NA
"CP/618/IB/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"716651.25","Jain Granites & Projects India Ltd.","Not Available","25.04.2017","Not Available","Not Available","Not Available","23.11.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"CP/586/IB/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Government entity","206996293","Everonn Skill Development Ltd.","23.01.2017",NA,NA,"Not Available","Not Available","23.11.2017","Admitted","C. Ramasubramaiam",NA,"N","N",NA,NA
"CP/637/IB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"774313.05","Trivitron Healthcare Pvt. Ltd.","Not Available","18.02.2017","Not Available","Not Available","Not Available","24.11.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"CP/623/IB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","364781328","NSR Steels Pvt Ltd.","Not Available",NA,NA,"Not Available","Not Available","24.11.2017","Admitted","Venkataramanarao Nagarajan",NA,"N","N",NA,NA
"CP/601/IB/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Infra Housing Pvt Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","28.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/620/IB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"5510108","Kavya Advertising & Marketing Pvt Ltd","Not Available","02.08.2017","Not Available","Not Available","Not Available","29.11.2017","Admitted","Radhakrishnan Dharmarajan",NA,"N","N",NA,NA
"CP/611/IB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"11886658","Sri Nagananthana Mills Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","29.11.2017","Admitted","S. Muthuraju",NA,"N","N",NA,NA
"CP(IB)/19/7/HDB/2017","Hyderabad Bench","Creditor","Financial Creditor",NA,"Individual Lender","9147864","Geometrix Laser Solutions Private Limited","Not Available",NA,NA,"Not Available","22.02.2017","13.03.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP(IB)/9/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Employee",NA,"12222969","Lanco Infratech Ltd.","Not Available","02.01.2017","Not Available","Not Available","Not Available","21.02.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Rejected"
"CP(IB)/16/07/HDB/2017","Hyderabad Bench","Creditor","Financial Creditor",NA,"Bank","3353210602","Kamineni Steel and Power India Private Limited","Not Available","Not Available","Not Available","Not Available","Not Available","20.02.2017","Dismissed",NA,"Other","N","N",NA,NA
"76/09/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"$50,797","M/s. Sulakshana Circuits Ltd.","Not Available","23.02.2017","Not Available","Not Available","Not Available","02.06.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"55/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"11463761","Hyderabad Integrated MSW limited","31.01.2017","Not Available","Not Available","Not Available","04.05.2017","22.06.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"58/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"3446317","Delhi MSW Solutions Ltd.","31.01.2017","Not Available","Not Available","Not Available","04.05.2017","22.06.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"58/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"753599","Ramky Energy & Environment Ltd.","31.01.2017","Not Available","Not Available","Not Available","04.05.2017","22.06.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"58/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"1751906","Ramky Enviro Engineering Ltd.","31.01.2017","Not Available","Not Available","Not Available","04.05.2017","22.06.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"94/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"217000","YTRRE Software Solutions Ltd.","Not Available","Not Available","Not Available","Not Available","20.07.2017","24.07.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 53/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"137727444","Gayatri Projects Ltd.","Not Available","10.02.2017","Not Available","Not Available","02.05.2017","31.07.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No.01/IBC/HDB/2017","Hyderabad Bench","Corporate Debtor",NA,NA,NA,"Not Available","Synergies Dooray Automative Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","02.08.2017","Dismissed","Mamta Binani ","Other","N","N",NA,NA
"CP No.111/7/HDB/2017","Hyderabad Bench","Creditor","Financial Creditor",NA,"Bank","2349612889","Lanco Infratech Ltd.","Not Available",NA,NA,"Not Available","25.07.2017","07.08.2017","Admitted","Savan Godiawala",NA,"N","N",NA,NA
"CP No.114/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"18163324","Lanco Infratech Ltd.","04.01.2016","Not Available","Not Available","Not Available","Not Available","07.08.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP(IB) 113/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"3037468","Lanco Infratech Ltd.","06.07.2012","09.02.2017","Not Available","Not Available","Not Available","07.08.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP(IB) 112/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"51447556","Lanco Infratech Ltd.","06.01.2011","02.03.2011","Not Available","Not Available","Not Available","07.08.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP(IB) 81/7/HDB/2017","Hyderabad Bench","Creditor","Financial Creditor",NA,"Individual Lenders","23958045","Aayusiddhi Life Science Pvt. Ltd.","Not Available",NA,NA,"16.05.2017","15.06.2017","08.08.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB) 136/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"3370800","Vishwa Infrastructure and Services Pvt. Ltd.","Not Available","02.02.2017","Not Available","Not Available","02.08.2017","10.08.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 119/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Employee",NA,"374850","VBC Industries Ltd.","Not Available","29.04.2017","Not Available","Not Available","27.07.2017","11.08.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB) No. 118/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Employee",NA,"1000000","VBC Industries Ltd.","Not Available","26.03.2017","Not Available","Not Available","27.07.2017","11.08.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP(IB) 143/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Ramky Infrastructure Ltd.","Not Available","Not Available","Not Available","Not Available","09.08.2017","14.08.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB) No. 144/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"3316292","Vijay Home Appliance Litd.","Not Available","18.07.2017","Not Available","Not Available","09.08.2017","14.08.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP(IB) No. 130/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"43996775.78","SuryaJyoti Spinning Mills Ltd.","Not Available","10.04.2017","Not Available","14.07.2017","31.07.2017","14.08.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP No. (IB)128/10/HDB/2017","Hyderabad Bench","Corporate Debtor",NA,NA,NA,"3749750710","Neeta Chemicals (I) Pvt. Ltd.",NA,NA,NA,NA,NA,"14.08.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP(IB) No.135/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"10873530","GVK Bio Sciences Pvt. Ltd.","Not Available","23.03.2017","Not Available","Not Available","01.08.2017","14.08.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP(IB) No.120/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Legend Estate Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","28.07.2017","21.08.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 50/10/HDB/2017","Hyderabad Bench","Corporate Debtor",NA,NA,NA,"Not Available","Ameya Laboratories Ltd.",NA,NA,NA,"Not Available","Not Available","21.08.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP(IB) No.138/7/HDB/2017","Hyderabad Bench","Creditor","Financial Creditor",NA,"Not Available","Not Available","Windstream Energy Technologies India Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","21.08.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB) No. 141/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"6065468","Ind-Barath Energy (Utkal) Ltd.","Not Available","25.04.2017","Not Available","Not Available","09.08.2017","21.08.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 95/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Others",NA,"4043000","Alien Developers (P) Ltd.","02.04.2017","28.04.2017","Not Available","Not Available","10.07.2017","22.08.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 104/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Others",NA,"4481000","Alien Developers (P) Ltd.","15.03.2016","12.05.2017","Not Available","Not Available","19.07.2017","22.08.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 105/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Others",NA,"3553474","Alien Developers (P) Ltd.","02.04.2017","13.04.3017","Not Available","Not Available","19.07.2017","22.08.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP No. 127/10/HDB/2017","Hyderabad Bench","Corporate Debtor",NA,NA,NA,"2900000000","Anrak Aluminium Ltd.","Not Available","Not Available","Not Available","07.07.2017","28.07.2017","31.08.2017","Dismissed",NA,"Other","N","N",NA,NA
"(IB)-116/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"158767390","Ksheeraabd Constructions Private Limited ","Not Available","27.05.2017","Not Available","Not Available","Not Available","06.09.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"(IB)-124/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"6257938","Janapriya Engineers Syndicate Private Limited ","01.03.2015","15.03.2017","Not Available","Not Available","28.07.2017","05.09.2017","Dismissed",NA,"Other","N","N",NA,NA
"(IB)-96/7/HDB/2017","Hyderabad Bench","Creditor","Financial Creditor",NA,"Corporate Lender","29500000","VSS Projects Private Limited ","30.06.2016",NA,NA,"Not Available","Not Available","08.09.2017","Dismissed",NA,"Other","N","N",NA,NA
"(IB)-137/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Employee",NA,"27418587","East Coast Energy Private Limited ","Not Available","Not Available","Not Available","Not Available","02.08.2017","08.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"(IB)-180/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"463581260","BGR Energy Systems Limited ","Not Available","Not Available","Not Available","Not Available","Not Available","08.09.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP(IB) No.149/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Employee",NA,"21285058","Kiranmaye Insitute of Medical Sciences Pvt Ltd","Not Available","26.04.2017","Not Available","Not Available","14.08.2017","11.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"(IB)-122/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"927229","Aster Building Solutions Limited ","Not Available","Not Available","Not Available","Not Available","28.07.2017","13.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"(IB)-181/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"64199702","Lakshmi Srinvasa Jute Mills Private Limited ","30.04.2016","05.05.2017","Not Available","Not Available","04.09.2017","15.09.2017","Dismissed",NA,"Other","N","N",NA,NA
"(IB)-103/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"30853429+27% interest","Sirpur Paper Mills Limited ","01.09.2014","12.05.2017","Not Available","Not Available","18.07.2017","18.09.2017","Dismissed",NA,"Existing IRP","N","N",NA,NA
"CP(IB) No. 142/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"515460881","Marigold Apparel Industries Private Limited","Not Available","22.06.2017","Not Available","Not Available","14.08.2017","06.09.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP(IB) No. 129/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"1867839","Ramky Infrastructure Limited","Not Available","10.04.2017","18.04.2017","Not Available","01.08.2017","01.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 170/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Biomax Fuels Limited","Not Available","Not Available","Not Available","Not Available","30.08.2017","10.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 195/10/HDB/2017","Hyderabad Bench","Corporate Debtor",NA,NA,NA,"Not Available","Empee Sugars and Chemicals Limited","Not Available",NA,NA,"24.08.2017","20.09.2017","16.10.2017","Dismissed",NA,"Withdrawn","Y","N",NA,NA
"CP(IB) No. 214/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"352683","Neerus Ensembles Private Limited","Not Available","14.06.2017","16.06.2017","Not Available","26.09.2017","16.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 244/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Metkore Alloys & Industries Ltd.","Not Available","Not Available","Not Available","Not Available","03.10.2017","16.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP(IB) No. 216/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"756400","UI Pipe Fittings Private Limited","Not Available","24.04.2017","Not Available","Not Available","04.10.2017","16.10.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP(IB) No. 208/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Others",NA,"3890000","M/s. Aliens Developers (P) Ltd.","Not Available","18.06.2017","Not Available","Not Available","06.09.2017","23.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 209/9/HDb/2017","Hyderabad Bench","Creditor","Operational Creditor","Others",NA,"2976000","M/s. Aliens Developers (P) Ltd.","Not Available","22.04.2017","Not Available","Not Available","06.09.2017","23.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 210/9/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Others",NA,"11726865","M/s. Aliens Developers (P) Ltd.","Not Available","11.05.2017","Not Available","Not Available","06.09.2017","23.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 234/09/HBD/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"Not Available","Inchem Laboratories Pvt. Ltd.","14.04.2015","14.07.2017","Not Available","Not Available","10.10.2017","27.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB)/165/09/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","LEPL Projects Limited","Not Available","Not Available","Not Available","Not Available","29.08.2017","27.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP (IB) No.169/09/HDB/2017","Hyderabad Bench","Creditor","Operational Creditor","Vendor",NA,"3330691","Alaknanda Hydro Power Company Ltd.","Not Available","Not Available","Not Available","Not Available","30.08.2017","06.11.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP (IB) No.220/07/HDB/2017","Hyderabad Bench","Creditor","Financial Creditor",NA,"Individual lenders","2622330","Syberplace E Solutions Pvt. Ltd.","Not Available",NA,NA,"Not Available","04.10.2017","10.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
