Case.No.,Bench,Who.filed..Corporate.Debtor..Operational.Creditor..Financial.Creditor,Type.of.Creditor..eg..employee..bank..NBFC.etc..,Type.of.operational.Creditor,Type.of.financial.Creditor,Secured..unsecured,Name.of.Corporate.Debtor,Due.Date.for.payment,Date.of.demand.notice,Date.of.receipt.service.of.Demand.Notice,Date.of.filing.in.NCLT,First.date.of.case.listing,Date.of.final.disposal,Evidence.of.debt..What.kind.of.document.,Admitted..dismissed,Name.of.Insolvency.Professional,Category.for.reason.for.dismissal,URL,BIFR.Y.N.,Appeal..Y.No.,Who.appealed.,Appeal.Allowed.Rejected
CP No. (IB)-84(PB)/2017,New Delhi(Principal Bench),Creditor,Financial Creditor,NA,NBFC,Unsecured,Mayfair Capital Private Limited,24.04.2016,NA,Not Available,Not Available,Not Available,27.06.2017,Bank statements,Admitted,Mr. Sanjay Kumar Agarwal ,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/34.pdf,N,N,NA,NA
CP No. (IB)-53(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Employee,NA,Unsecured,Technopak Advisers Private Limited,Not Available,Not Available,Not Available,Not Available,Not Available,27.06.2017,Unclear,Dismissed,NA,Other,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/32.pdf,N,Y,Creditor,Rejected
CP No. (IB)-102(PB)/2017,New Delhi(Principal Bench),Creditor,Financial Creditor,NA,Bank,Secured,Edu Smart Service Private Limited,21.07.2015,NA,NA,Not Available,Not Available,27.06.2017,Bankers' Book,Admitted,Ritu Rastogi,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/31.pdf,N,N,NA,NA
CP No. (IB)-80(PB)/2017,New Delhi(Principal Bench),Creditor,Financial Creditor,NA,Not Available,Secured,Brys International Private Limited,30.04.2015,NA,NA,28.04.2017,Not Available,27.06.2017,MOU for loan,Dismissed,NA,Other,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/30.pdf,N,Y,Creditor,Allowed
CP No. (IB)-60(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,Mothers Pride Dairy India Private Limited,Not Available,20.03.2017,Not Available,Not Available,Not Available,27.06.2017,Invoices,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/39.pdf,N,Y,Corporate Debtor,Rejected
CP No. 1251/2016,New Delhi(Principal Bench),Creditor,Financial Creditor,NA,Shareholder,Unsecured,S3 Electricals and Electronics Private Limited,17.09.2014,NA,NA,Not Available,Not Available,28.06.2017,Unclear,Admitted,Mr.Navneet Kumar Jain,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/45.pdf,N,Y,Creditor,Allowed
CP No. (IB)-40(PB)/2017,New Delhi(Principal Bench),Corporate Debtor,NA,NA,NA,Secured,Vedika Nut Craft Private Limited,Not Available,NA,NA,Not Available,Not Available,30.06.2017,Unclear,Admitted,Mr.Hemant Sinha,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/42.pdf,N,N,NA,NA
CP No. (IB)-156(PB)/2017,New Delhi(Principal Bench),Creditor,Financial Creditor,NA,Assignee of debt,Secured,Ved Cellulose Limited,Not Available,NA,NA,Not Available,Not Available,30.06.2017,Loan agreement,Admitted,Rakesh Wadhwa,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/43.pdf,N,Y,Corporate Debtor,Rejected (withdrawn)
CP No. (IB)-104(PB)/2017,New Delhi(Principal Bench),Creditor,Financial Creditor,NA,Bank,Secured,Tirupati Infraprojects Private Limited,30.06.2014,NA,NA,Not Available,Not Available,03.07.2017,Sanction Letter ,Admitted,Anil Kohli,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/46.pdf,N,Y,Corporate Debtor,Rejected
(IB)-58(PB)/2017,New Delhi(Special Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,Amarpali Biotech India Private Limited,13.02.2017,13.02.2017,Not Available,Not Available,19.04.2017,04.07.2017,Agency Agreement,Dismissed,NA,Other,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/54.pdf,N,N,NA,NA
CP No. (IB)-151(PB)/2017,New Delhi(Special Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,Intarvo Technologies Private Limited,08.06.2015,06.02.2017,07.02.2017,29.06.2017,Not Available,14.07.2017,Unclear,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/63.pdf,N,N,NA,NA
