Case.No.,Bench,Who.filed..Corporate.Debtor..Operational.Creditor..Financial.Creditor,Type.of.Creditor..eg..employee..bank..NBFC.etc..,Type.of.operational.Creditor,Type.of.financial.Creditor,Secured..unsecured,Name.of.Corporate.Debtor,Due.Date.for.payment,Date.of.demand.notice,Date.of.receipt.service.of.Demand.Notice,Date.of.filing.in.NCLT,First.date.of.case.listing,Date.of.final.disposal,Evidence.of.debt..What.kind.of.document.,Admitted..dismissed,Name.of.Insolvency.Professional,Category.for.reason.for.dismissal,URL,BIFR.Y.N.,Appeal..Y.No.,Who.appealed.,Appeal.Allowed.Rejected
CP(IB) No.103/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/362.pdf,N,N,NA,NA
CP(IB) No. 108/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/360.pdf,N,N,NA,NA
CP(IB) No. 101/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/359.pdf,N,N,NA,NA
CP(IB) No. 76/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Shreenidhi Woodtech Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/358.pdf,N,N,NA,NA
CP(IB) No. 111/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/356.pdf,N,N,NA,NA
CP(IB) No.107 /7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/353.pdf,N,N,NA,NA
CP(IB) No. 102/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/352.pdf,N,N,NA,NA
CP(IB) No. 95/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Techno Forge Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,30.08.2017,Not Available,Dismissed,NA,Non-prosecution,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/374.pdf,N,N,NA,NA
CP(IB) No. 85/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Unspecified,Sarthak Creation Pvt. Ltd.,NA,NA,NA,Not Available,18.08.2017,30.08.2017,NA,Admitted,Kailash T. shah,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/376.pdf,N,N,NA,NA
CP(IB) No. 98/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,31.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Final%20Ashtavinayak%20Ecometals%20Pvt.%20Ltd.%20v.%20Anil%20Ltd..pdf,N,N,NA,NA
CP(IB) No. 36/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,NA,GEI Industrial Systems Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,31.08.2017,Not Available,Dismissed,Not avaialable,Other,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Final%20Nagai%20Power%20Pvt.%20Ltd.%20v.%20GEI%20Industrial%20systems%20Ltd..pdf,N,N,NA,NA
CP(IB) No. 96/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Wind World(India)Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,31.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Final%20Oasis%20Infrastructure%20Pvt.%20Ltd.%20v.%20Wind%20World(India)%20Ltd..pdf,N,N,NA,NA
94/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured,YTRRE Software Solutions Ltd.,Not Available,Not Available,Not Available,Not Available,20.07.2017,24.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/153.pdf,N,N,NA,NA
CP(IB) No. 53/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured,Gayatri Projects Ltd.,Not Available,10.02.2017,Not Available,Not Available,02.05.2017,31.07.2017,Purchase orders and invoices,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/107.pdf,N,N,NA,NA
CP(IB) No.01/IBC/HDB/2017,Hyderabad Bench ,Corporate Debtor,NA,NA,NA,Not Available,Synergies Dooray Automative Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,02.08.2017,NA,Dismissed,Mamta Binani ,Other,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/96.pdf,N,N,NA,NA
CP No.111/7/HDB/2017,Hyderabad Bench ,Creditor,Financial Creditor,NA,Bank,Secured,Lanco Infratech Ltd.,Not Available,NA,NA,Not Available,25.07.2017,07.08.2017,"loan agreements, demand promissory note, letter of continuity, bank statement",Admitted,Savan Godiawala,NA,http://nclt.gov.in/interim_orders/hyderabad/07.08.2017/1.pdf,N,N,NA,NA
CP No.114/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Not Available,NA,Unsecured,Lanco Infratech Ltd.,04.01.2016,Not Available,Not Available,Not Available,Not Available,07.08.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/123.pdf,N,N,NA,NA
CP(IB) 113/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Not Available,NA,Unsecured,Lanco Infratech Ltd.,06.07.2012,09.02.2017,Not Available,Not Available,Not Available,07.08.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/135.pdf,N,N,NA,NA
CP(IB) 112/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Not Available,NA,Unsecured,Lanco Infratech Ltd.,06.01.2011,02.03.2011,Not Available,Not Available,Not Available,07.08.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/134.pdf,N,N,NA,NA
CP(IB) 81/7/HDB/2017,Hyderabad Bench ,Creditor,Financial Creditor,NA,Individuals,Unsecured,Aayusiddhi Life Science Pvt. Ltd.,Not Available,NA,NA,16.05.2017,15.06.2017,08.08.2017,Letter of loan repayment,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/147.pdf,N,N,NA,NA
CP(IB) 136/9/HDB/2017,Hyderabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Vishwa Infrastructure and Services Pvt. Ltd.,Not Available,02.02.2017,Not Available,Not Available,02.08.2017,10.08.2017,Bills ,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/302.pdf,N,N,NA,NA
CP(IB) No. 119/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Employee,NA,Unsecured,VBC Industries Ltd.,Not Available,29.04.2017,Not Available,Not Available,27.07.2017,11.08.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/97.pdf,N,N,NA,NA
CP(IB) No. 118/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Employee,NA,Unsecured,VBC Industries Ltd.,Not Available,26.03.2017,Not Available,Not Available,27.07.2017,11.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/100.pdf,N,N,NA,NA
CP(IB) 143/9/HDB/2017,Hyderabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Ramky Infrastructure Ltd.,Not Available,Not Available,Not Available,Not Available,09.08.2017,14.08.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/301.pdf,N,N,NA,NA
CP(IB) No. 144/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured,Vijay Home Appliance Litd.,Not Available,18.07.2017,Not Available,Not Available,09.08.2017,14.08.2017,Invoices and order,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/98.pdf,N,N,NA,NA
CP(IB) No. 130/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Not Available,NA,Unsecured,SuryaJyoti Spinning Mills Ltd.,Not Available,10.04.2017,Not Available,14.07.2017,31.07.2017,14.08.2017,Invoices,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/119.pdf,N,N,NA,NA
CP No. (IB)128/10/HDB/2017,Hyderabad Bench ,Corporate Debtor,NA,NA,NA,Secured,Neeta Chemicals (I) Pvt. Ltd.,NA,NA,NA,NA,NA,14.08.2017,Term loan agreement,Dismissed,NA,Non-prosecution,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/110.pdf,N,N,NA,NA
CP(IB) No.135/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Not Available,NA,Unsecured,GVK Bio Sciences Pvt. Ltd.,Not Available,23.03.2017,Not Available,Not Available,1.08.2017,14.08.2017,Invoices,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/122.pdf,N,N,NA,NA
CP(IB) No.120/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Not Available,NA,Unsecured,Legend Estate Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,28.07.2017,21.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/114.pdf,N,N,NA,NA
CP(IB) No. 50/10/HDB/2017,Hyderabad Bench ,Corporate Debtor,NA,NA,NA,Not Available,Ameya Laboratories Ltd.,NA,NA,NA,Not Available,Not Available,21.08.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/104.pdf,N,N,NA,NA
CP(IB) No.138/7/HDB/2017,Hyderabad Bench ,Creditor,Financial Creditor,NA,Unspecified,Not Available,Windstream Energy Technologies India Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,21.08.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/112.pdf,N,N,NA,NA
CP(IB) No. 141/9/HDB/2017,Hyderabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Ind-Barath Energy (Utkal) Ltd.,Not Available,25.04.2017,Not Available,Not Available,09.08.2017,21.08.2017,Invoices,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/338.pdf,N,N,NA,NA
CP(IB) No. 95/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Others,NA,Not Available,Alien Developers (P) Ltd.,02.04.2017,28.04.2017,Not Available,Not Available,10.07.2017,22.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/101.pdf,N,N,NA,NA
CP(IB) No. 104/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Others,NA,Not Available,Alien Developers (P) Ltd.,15.03.2016,12.05.2017,Not Available,Not Available,19.07.2017,22.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/102.pdf,N,N,NA,NA
CP(IB) No. 105/9/HDB/2017,Hyderabad Bench ,Creditor,Operational Creditor,Others,NA,Not Available,Alien Developers (P) Ltd.,02.04.2017,13.04.3017,Not Available,Not Available,19.07.2017,22.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/103.pdf,N,N,NA,NA
CP No. 127/10/HDB/2017,Hyderabad Bench ,Corporate Debtor,NA,NA,NA,Secured,Anrak Aluminium Ltd.,Not Available,Not Available,Not Available,07.07.2017,28.07.2017,31.08.2017,Financial statements,Dismissed,NA,Other,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/148.pdf,N,N,NA,NA
60/ALD/2017,Allahabad Bench,Creditor,Operational Creditor,Employee,NA,Unsecured,Wegilant Net Solutions Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,28.07.2017,"Increment and promotion letter, employer agreement",Admitted,Not avaialable,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/18.pdf,N,N,NA,NA
(IB)18/ALD/2017,Allahabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,South East U.P. Power Transmission Co. Ltd.,Not Available,21.12.2016,Not Available,27.02.2017,Not Available,04.08.2017,Bank Statement,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/31.pdf,N,N,NA,NA
CP.No(IB)77/ALD/2017,Allahabad Bench,Creditor,Financial Creditor,NA,Bank,Secured,Jaypee Infratech Ltd.,Not Available,NA,NA,Not Available,Not Available,09.08.2017,Audited financial statements,Admitted,Not avaialable,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/19.pdf,N,N,NA,NA
CP.No.(IB)68/ALD/2017,Allahabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Jaypee Infratech Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,28.08.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/25.pdf,N,N,NA,NA
CP(IB).No.04/BB/2017,Bengaluru Bench,Unspecified,Unspecified,Not Available,Unclear,Not Available,G.K. Shelters Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,21.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/125.pdf,N,N,NA,NA
CP(IB).No.27/BB/2017,Bengaluru Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Le Ecosystem Technology India Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,16.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/188.pdf,N,N,NA,NA
CP(IB) NO.16/BB/2017,Bengaluru Bench,Creditor,Unspecified,Not Available,Unspecified,Not Available,R K Swamy BBDO PVt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,23.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/R%20K%20Swamy%20BBDO%20Pvt%20Ltd%20IB%2016%2017%20FO.pdf,N,N,NA,NA
CP(IB)No.39/BB/2017,Bengaluru Bench,Creditor,Unspecified,Not Available,Unspecified,Not Available,Siesta Hospital Services Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,31.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/205.pdf,,N,NA,NA
33/Chd/Hry/2017,Chandigarh Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Isolux Corsan India Engineering and Construction Pvt. Ltd,Not Available,04.04.2017,Not Available,30.04.2017,03.07.2017,21.07.2017,Invoices and emails,Dismissed,NA,Other,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/76.pdf,,Y,Creditor,Rejected
133/Chd/Hry/2017,Chandigarh Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,A2Z Powercom Ltd.,21.09.2012,07.06.2017,Not Available,Not Available,Not Available,26.07.2017,Not Available,Dismissed,NA,Time barred,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/69.pdf,,N,NA,NA
53/Chd/Pb/2017,Chandigarh Bench,Creditor,Operational Creditor,Not Available,Unspecified,Not Available,Ceigall India Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,27.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/84.pdf,,N,NA,NA
48/Chd/Hry/2017,Chandigarh Bench,Creditor,Operational Creditor,Not Available,Unspecified,Not Available,Lakshmi Precision Screws Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,27.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/86.pdf,,N,NA,NA
39/Chd/Pb/2017,Chandigarh Bench,Creditor,Financial Creditor,NA,Unspecified,Unsecured,Muskaan Power Infrastructure Ltd.,Not Available,NA,NA,Not Available,07.07.2017,28.07.2017,Loan agreement and invoices,Admitted,Not Available,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/91.pdf,,N,NA,NA
45/Chd/Pb/2017,Chandigarh Bench,Creditor,Financial Creditor,NA,Bank,Not Available,S.R. Green Housing Projects Ltd.,Not Available,NA,NA,Not Available,24.07.2017,04.08.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/107.pdf,,N,NA,NA
43/Chd/Pb/2017,Chandigarh Bench,Creditor,Financial Creditor,NA,Bank,Secured,Concord Hospitality Pvt. Ltd.,Not Available,NA,NA,Not Available,11.07.2017,04.08.2017,"Term loan agreement, mortgage deeds",Admitted,Mr. Navneet Gupta,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/109.pdf,,N,NA,NA
CP(IB) No. 47/Chd/Hry/2017,Chandigarh Bench,Creditor,Financial Creditor,NA,NA,Unsecured,Leeway Logistics Ltd,Not Available,NA,NA,Not Available,Not Available,07.08.2017,"Loan document, letter from debtor",Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/index.html,N,N,NA,NA
CP.No.57/Chd/Hry/2017,Chandigarh Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Jindal Steel and Power Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,17.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/121.pdf,,N,NA,NA
CP (IB) No.59/Chd/Hry/2017,Chandigarh Bench,Creditor,Financial Creditor,Not Available,Unspecified,Not Available,Tirupati Ceramics Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,30.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/133.pdf,,N,NA,NA
CP (IB) No.65/Chd/Pb/2017,Chandigarh Bench,Corporate Debtor,NA,NA,NA,Not Available,Julka Rice and Oils Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,31.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/136.pdf,,N,NA,NA
